URL;Start Time;End Time;Response Time;Latency;Status Code
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.581Z;2023-12-08T13:50:34.831Z;5.25s;5.25s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.582Z;2023-12-08T13:50:35.021Z;5.44s;5.44s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.580Z;2023-12-08T13:50:35.026Z;5.45s;5.45s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.579Z;2023-12-08T13:50:35.030Z;5.45s;5.45s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.578Z;2023-12-08T13:50:35.042Z;5.46s;5.46s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.579Z;2023-12-08T13:50:35.054Z;5.47s;5.47s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.581Z;2023-12-08T13:50:35.067Z;5.49s;5.49s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.584Z;2023-12-08T13:50:35.115Z;5.53s;5.53s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.586Z;2023-12-08T13:50:35.137Z;5.55s;5.55s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.586Z;2023-12-08T13:50:35.148Z;5.56s;5.56s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.585Z;2023-12-08T13:50:35.228Z;5.64s;5.64s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:29.584Z;2023-12-08T13:50:35.235Z;5.65s;5.65s;201
